key,EN,TC,SC
ADR,Alternative Dispute Resolution (ADR),另類排解程序 (ADR),另类排解程序 (ADR)
antiDiscrimination,Anti-Discrimination,反歧視,反歧视
bankruptcy,"Bankruptcy, Individual Voluntary Arrangement & Winding-up of Companies",破產 、 個人自願安排 、 公司清盤,破产、个人资源安排、公司清盘
civilCase,Bringing or Defending a Civil Case,如何提出民事訴訟或作出抗辯,如何提出民事诉讼或作出抗辩
businessAndCommerce,Business & Commerce,商業及貿易,商业及贸易
trafficOffences,Traffic Offences,交通罪行,交通罪行
competitionLaw,Competition Law,競爭法,竞争法
consumerComplaints,Consumer Complaints,消費者投訴,消费者投诉
defamation,Defamation,誹謗,诽谤
employmentDisputes,Employment Disputes,勞資糾紛,劳资纠纷
enduringPowersOfAttorney,Enduring Powers of Attorney,持久授權書,持久授权书
diyResidentialTenancyAgreement,E-package: DIY Residential Tenancy Agreement,住宅租約不求人：電子資料册,住宅租约不求人：电子资料册
family,"Family, Matrimonial & Cohabitation",婚姻、家庭及同居關係事宜,婚姻、家庭及同居关系事宜
freedomOfAssembly,"Freedom of Assembly, Procession and Demonstration",集會、遊行及示威自由,集会、游行及示威自由
hkLegalSystem,Hong Kong Legal System,香港法律制度的基本知識,香港法律制度的基本知识
immigration,Immigration,入境,入境
insurance,Insurance,保險,保险
intellectualProperty,Intellectual Property,知識產權,知识产权
landlordTenant,Landlord & Tenant,業主與租客,业主与租客
legalAid,Legal Aid,免費或資助的法律支援服務,免费或资助的法律支援服务
MaintenanceAndSafetyOfProperty,Maintenance and Safety of Property,物業維修及安全,物业维修及安全
medicalNegligence,Medical Negligence,醫療疏忽,医疗疏忽
medicalTreatmentConsent,Medical Treatment: Consent and Withdrawal,醫療程序：徵求同意與拒絕治療,医疗程序
personalDataPrivacy,Personal Data Privacy,個人資料私隱,个人资料隐私
personalInjuries,Personal Injuries,人身傷亡,人身伤亡
probate,Probate,遺產承辦,遗产承办
protectionForInvestors,Protection for Investors and Structured Products,保護投資者及結構性產品,保护投资者及结构性产品
policeAndCrime,Police & Crime,警察及罪案,警察及罪案
redevelopmentAndAcquisition,Redevelopment and Acquisition of Property,重建及收購物業,重建及收购物业
saleAndPurchaseOfProperty,Sale & Purchase of Property,樓宇買賣,楼宇买卖
sexualOffences,Sexual Offences,性罪行,性罪行
taxation,Taxation,稅務,税务